id,ra,dec
0,0.0,-60.0
1,20.0,-60.0
2,40.0,-60.0
3,60.0,-60.0
4,80.0,-60.0
5,100.0,-60.0
6,120.0,-60.0
7,140.0,-60.0
8,160.0,-60.0
9,260.0,-60.0
10,280.0,-60.0
11,300.0,-60.0
12,320.0,-60.0
13,340.0,-60.0
14,0.0,-50.0
15,20.0,-50.0
16,40.0,-50.0
17,60.0,-50.0
18,80.0,-50.0
19,100.0,-50.0
20,120.0,-50.0
21,140.0,-50.0
22,160.0,-50.0
23,180.0,-50.0
24,200.0,-50.0
25,220.0,-50.0
26,260.0,-50.0
27,280.0,-50.0
28,300.0,-50.0
29,320.0,-50.0
30,340.0,-50.0
31,0.0,-40.0
32,20.0,-40.0
33,40.0,-40.0
34,60.0,-40.0
35,80.0,-40.0
36,100.0,-40.0
37,120.0,-40.0
38,140.0,-40.0
39,160.0,-40.0
40,180.0,-40.0
41,200.0,-40.0
42,220.0,-40.0
43,240.0,-40.0
44,280.0,-40.0
45,300.0,-40.0
46,320.0,-40.0
47,340.0,-40.0
48,0.0,-30.0
49,20.0,-30.0
50,40.0,-30.0
51,60.0,-30.0
52,80.0,-30.0
53,100.0,-30.0
54,120.0,-30.0
55,140.0,-30.0
56,160.0,-30.0
57,180.0,-30.0
58,200.0,-30.0
59,220.0,-30.0
60,240.0,-30.0
61,280.0,-30.0
62,300.0,-30.0
63,320.0,-30.0
64,340.0,-30.0
65,0.0,-20.0
66,20.0,-20.0
67,40.0,-20.0
68,60.0,-20.0
69,80.0,-20.0
70,100.0,-20.0
71,120.0,-20.0
72,140.0,-20.0
73,160.0,-20.0
74,180.0,-20.0
75,200.0,-20.0
76,220.0,-20.0
77,240.0,-20.0
78,300.0,-20.0
79,320.0,-20.0
80,340.0,-20.0
81,0.0,-10.0
82,20.0,-10.0
83,40.0,-10.0
84,60.0,-10.0
85,80.0,-10.0
86,100.0,-10.0
87,120.0,-10.0
88,140.0,-10.0
89,160.0,-10.0
90,180.0,-10.0
91,200.0,-10.0
92,220.0,-10.0
93,240.0,-10.0
94,260.0,-10.0
95,300.0,-10.0
96,320.0,-10.0
97,340.0,-10.0
98,0.0,0.0
99,20.0,0.0
100,40.0,0.0
101,60.0,0.0
102,80.0,0.0
103,100.0,0.0
104,120.0,0.0
105,140.0,0.0
106,160.0,0.0
107,180.0,0.0
108,200.0,0.0
109,220.0,0.0
110,240.0,0.0
111,260.0,0.0
112,300.0,0.0
113,320.0,0.0
114,340.0,0.0
